name,Size,Ties,Pairs,Density,nWeakComp,pWeakComp,2StepReach,ReachEffic,Broker,nBroker,EgoBetween,nEgoBetween,Closeness_Centrality,Betweenness_Centrality,in_degree,out_degree,degree,bug
org.apache.tools.ant.filters.HeadFilter,5,2,20,10,3,60,2.540913105,56.19047546,9,0.899999976,3,15,0.157772622,1.75E-05,1,4,5,0
org.apache.tools.ant.filters.LineContains,6,3,30,10,3,50,17.52799225,85.14644623,13.5,0.899999976,3,10,0.218088518,0.000185419,1,5,6,0
org.apache.tools.ant.filters.LineContainsRegExp,7,5,42,11.90476227,2,28.5714283,17.74332428,82.23552704,18.5,0.880952358,4,9.523809433,0.22106632,0.000102444,1,6,7,0
org.apache.tools.ant.filters.PrefixLines,4,2,12,16.66666603,2,50,2.282515049,54.63917542,5,0.833333313,2,16.66666603,0.156754265,1.68E-05,1,3,4,0
org.apache.tools.ant.filters.ReplaceTokens,7,4,42,9.523809433,3,42.8571434,25.36606407,75.51281738,19,0.90476191,4,9.523809433,0.195627158,0.000188063,1,6,7,1
org.apache.tools.ant.filters.StringInputStream,1,0,0,0,1,100,0.086132646,100,0,0,0,0,1,0,0,1,1,0
org.apache.tools.ant.filters.StripJavaComments,3,1,6,16.66666603,2,66.66666412,1.851851821,64.17910767,2.5,0.833333313,1,16.66666603,0.184182015,4.40E-07,1,2,3,0
org.apache.tools.ant.filters.StripLineBreaks,4,2,12,16.66666603,2,50,2.282515049,54.63917542,5,0.833333313,2,16.66666603,0.156754265,1.68E-05,1,3,4,0
org.apache.tools.ant.filters.StripLineComments,5,2,20,10,3,60,2.325581312,55.10203934,9,0.899999976,3,15,0.157261795,0.000185419,1,4,5,0
org.apache.tools.ant.filters.TabsToSpaces,4,2,12,16.66666603,2,50,2.282515049,54.63917542,5,0.833333313,2,16.66666603,0.156754265,1.68E-05,1,3,4,0
org.apache.tools.ant.filters.TailFilter,5,2,20,10,3,60,2.540913105,56.19047546,9,0.899999976,3,15,0.157772622,1.75E-05,1,4,5,0
org.apache.tools.ant.filters.TokenFilter,19,31,342,9.06432724,2,10.52631569,27.99310875,59.9078331,155.5,0.909356713,93,27.19298172,0.232081911,0.001089418,5,17,22,0
org.apache.tools.ant.filters.util.ChainReaderHelper,17,47,272,17.27941132,1,5.882352829,29.88802719,48.0609436,112.5,0.827205896,69.33333588,25.49019623,0.260936301,0.006282061,6,11,17,1
org.apache.tools.ant.helper.AntXMLContext,13,48,156,30.76922989,1,7.692307472,20.41343689,63.79542542,54,0.692307711,9.934523582,6.368284702,0.218508997,8.39E-05,7,6,13,0
org.apache.tools.ant.helper.DefaultExecutor,4,7,12,58.33333206,1,25,26.83031845,67.49729156,2.5,0.416666657,0,0,0.215365239,0,0,4,4,0
org.apache.tools.ant.helper.ProjectHelper2,25,88,600,14.66666698,1,4,32.29973984,39.59873199,256,0.853333354,251.1666718,41.86111069,0.25974026,0.001969011,7,24,31,1
org.apache.tools.ant.helper.ProjectHelperImpl,30,131,870,15.05747128,1,3.333333254,32.04134369,40.85667038,369.5,0.849425316,295.2000122,33.93103409,0.272435897,0.007529339,9,25,34,0
org.apache.tools.ant.helper.SingleCheckExecutor,4,7,12,58.33333206,1,25,26.83031845,67.49729156,2.5,0.416666657,0,0,0.214870825,0,1,3,4,0
org.apache.tools.ant.input.DefaultInputHandler,8,13,56,23.2142849,1,12.5,27.08871651,65.31671906,21.5,0.767857134,6.666666508,11.90476227,0.140495868,0.000252228,4,4,8,0
org.apache.tools.ant.input.GreedyInputHandler,6,4,30,13.33333302,2,33.33333206,24.50473785,80.48090363,13,0.866666675,3,10,0.19476082,6.25E-05,1,5,6,0
org.apache.tools.ant.input.InputHandler,10,22,90,24.44444466,1,10,27.13178253,63.70070648,34,0.75555557,3.166666746,3.518518448,0.139975298,8.42E-05,8,2,10,0
org.apache.tools.ant.input.InputRequest,6,6,30,20,1,16.66666603,0.689061165,41.0256424,12,0.800000012,0,0,0,0,6,0,6,0
org.apache.tools.ant.input.MultipleChoiceInputRequest,3,2,6,33.33333206,1,33.33333206,0.559862196,59.09090805,2,0.666666687,0,0,1,0,2,1,3,0
org.apache.tools.ant.input.PropertyFileInputHandler,4,3,12,25,1,25,23.16968155,96.58886719,4.5,0.75,1,8.333333015,0.140329218,1.58E-07,1,3,4,0
org.apache.tools.ant.launch.AntMain,2,0,2,0,2,100,0.904392779,95.45454407,1,1,0,0,0,0,2,0,2,0
org.apache.tools.ant.launch.LaunchException,1,0,0,0,1,100,0.215331614,100,0,0,0,0,0,0,1,0,1,0
org.apache.tools.ant.launch.Launcher,5,0,20,0,5,100,1.851851821,86,10,1,6,30,0.8,0.000174681,2,3,5,1
org.apache.tools.ant.launch.Locator,8,10,56,17.8571434,3,37.5,19.33677864,73.36601257,23,0.821428597,7,12.5,1,0.000169037,7,1,8,1
org.apache.tools.ant.listener.AnsiColorLogger,1,0,0,0,1,100,0.602928519,100,0,0,0,0,0.153880866,0,0,1,1,0
org.apache.tools.ant.listener.CommonsLoggingListener,7,18,42,42.8571434,1,14.28571415,19.25064659,65.92920685,12,0.571428597,0,0,0.218449712,0,0,7,7,0
org.apache.tools.ant.listener.Log4jListener,5,12,20,60,1,20,19.20758057,69.36236572,4,0.400000006,0,0,0.216096324,0,0,5,5,1
org.apache.tools.ant.listener.MailLogger,11,15,110,13.63636398,2,18.18181801,27.51938057,62.09912491,47.5,0.863636374,0,0,0.21955836,0,0,11,11,1
org.apache.tools.ant.listener.TimestampedLogger,1,0,0,0,1,100,0.602928519,100,0,0,0,0,0.153880866,0,0,1,1,0
org.apache.tools.ant.loader.AntClassLoader2,1,0,0,0,1,100,2.196382523,100,0,0,0,0,0.19408082,0,0,1,1,0
org.apache.tools.ant.taskdefs.AbstractCvsTask,19,41,342,11.98830414,2,10.52631569,29.50043106,37.80353165,150.5,0.88011694,47.83333206,13.98635483,0.23714653,0.000113042,4,15,19,1
org.apache.tools.ant.taskdefs.AbstractJarSignerTask,14,36,182,19.78022003,1,7.142857075,29.242033,43.58151627,73,0.802197814,8.083333015,4.441391945,0.265646732,2.48E-05,2,12,14,0
org.apache.tools.ant.taskdefs.Ant,18,52,306,16.99346352,1,5.555555344,29.28509903,41.18716049,127,0.83006537,17.91666603,5.855119705,0.249340369,4.86E-05,3,15,18,1
org.apache.tools.ant.taskdefs.AntStructure,7,10,42,23.80952454,1,14.28571415,27.77777863,50.58823395,16,0.761904776,2,4.761904716,0.217583808,6.96E-07,1,7,8,0
org.apache.tools.ant.taskdefs.Antlib,10,33,90,36.66666794,1,10,28.42377281,47.89550018,28.5,0.633333325,15.66666698,17.40740776,0.237596087,0.000114356,1,9,10,1
org.apache.tools.ant.taskdefs.AntlibDefinition,6,7,30,23.33333397,1,16.66666603,24.33247185,72.99741364,11.5,0.766666651,2,6.666666508,0.180084746,1.71E-06,4,2,6,0
org.apache.tools.ant.taskdefs.Apt,9,21,72,29.16666603,1,11.11111069,27.43324661,54.39794922,25.5,0.708333313,3.333333254,4.629629612,0.226241901,1.84E-05,2,7,9,1
org.apache.tools.ant.taskdefs.Available,12,27,132,20.45454597,2,16.66666603,29.069767,38.81541061,52.5,0.795454562,5.833333492,4.419191837,0.240675581,1.41E-05,1,11,12,1
org.apache.tools.ant.taskdefs.BUnzip2,6,8,30,26.66666603,2,33.33333206,26.01205826,64.05090332,11,0.733333349,0,0,0.196926579,0,0,6,6,0
org.apache.tools.ant.taskdefs.BZip2,6,8,30,26.66666603,2,33.33333206,26.05512428,64.22505188,11,0.733333349,0,0,0.196926579,0,0,6,6,0
org.apache.tools.ant.taskdefs.Basename,4,6,12,50,1,25,27.73471069,50.94936752,3,0.5,0,0,0.215822785,0,0,4,4,0
org.apache.tools.ant.taskdefs.BuildNumber,4,7,12,58.33333206,1,25,28.29457283,52.35059738,2.5,0.416666657,0,0,0.225827815,0,0,4,4,0
org.apache.tools.ant.taskdefs.CVSPass,3,1,6,16.66666603,2,66.66666412,24.50473785,74.86842346,2.5,0.833333313,0,0,0.180232558,0,0,3,3,0
org.apache.tools.ant.taskdefs.CallTarget,9,20,72,27.77777863,1,11.11111069,27.99310875,49.13076401,26,0.722222209,0,0,0.230115361,0,0,9,9,0
org.apache.tools.ant.taskdefs.Checksum,13,21,156,13.46153831,2,15.38461494,29.15590096,43.56499481,67.5,0.865384638,7.833333492,5.02136755,0.259622642,5.74E-05,1,12,13,1
org.apache.tools.ant.taskdefs.Chmod,11,25,110,22.72727203,1,9.090909004,27.82084465,44.1860466,42.5,0.772727251,0,0,0.261904762,0,0,11,11,1
org.apache.tools.ant.taskdefs.Classloader,6,14,30,46.66666794,1,16.66666603,28.20844078,48.91710281,8,0.533333361,0,0,0.227941176,0,0,6,6,1
org.apache.tools.ant.taskdefs.Concat,26,66,650,10.15384579,3,11.53846169,31.48148155,38.5955658,292,0.898461521,21.5,3.307692289,0.284100081,6.21E-05,1,26,27,1
org.apache.tools.ant.taskdefs.ConditionTask,4,4,12,33.33333206,1,25,26.87338448,63.80368042,4,0.666666687,0,0,0.23263225,0,0,4,4,0
org.apache.tools.ant.taskdefs.Copy,25,90,600,15,1,4,31.91214561,36.19931793,255,0.850000024,50.16666794,8.361110687,0.283360791,0.000123887,4,22,26,1
org.apache.tools.ant.taskdefs.CopyPath,9,19,72,26.38888931,2,22.22222137,29.11283302,41.26984024,26.5,0.736111104,0,0,0.237796374,0,0,9,9,0
org.apache.tools.ant.taskdefs.Copydir,5,5,20,25,1,20,27.39018059,53.35570526,7.5,0.75,0,0,0.24341637,0,0,5,5,0
org.apache.tools.ant.taskdefs.Copyfile,4,6,12,50,1,25,27.73471069,50.94936752,3,0.5,0,0,0.215822785,0,0,4,4,0
org.apache.tools.ant.taskdefs.Cvs,1,0,0,0,1,100,0.818260133,100,0,0,0,0,0.192107996,0,0,1,1,0
org.apache.tools.ant.taskdefs.DefBase,11,22,110,20,1,9.090909004,25.23686409,65.1111145,44,0.800000012,13.5,12.27272701,0.205438066,0.000134332,3,8,11,0
org.apache.tools.ant.taskdefs.DefaultExcludes,4,2,12,16.66666603,2,50,24.93540001,69.7590332,5,0.833333313,0,0,0.190396427,0,0,4,4,0
org.apache.tools.ant.taskdefs.Definer,14,26,182,14.28571415,3,21.4285717,27.95004272,49.27866364,78,0.857142866,81,44.50549316,0.239943543,0.001259985,3,13,16,1
org.apache.tools.ant.taskdefs.Delete,40,106,1560,6.794871807,1,2.5,30.83548737,39.51434708,727,0.932051301,78.16666412,5.010683537,0.277080063,0.000243085,3,37,40,1
org.apache.tools.ant.taskdefs.Deltree,3,3,6,50,1,33.33333206,24.37553787,64.02715302,1.5,0.5,0,0,0.187362637,0,0,3,3,0
org.apache.tools.ant.taskdefs.DependSet,26,71,650,10.92307663,1,3.846153736,30.44788933,40.79630661,289.5,0.890769243,63,9.692307472,0.261783901,0.000189761,3,26,29,1
org.apache.tools.ant.taskdefs.DiagnosticsTask,3,2,6,33.33333206,1,33.33333206,24.50473785,76.78812408,2,0.666666687,0,0,0.209202454,0,0,3,3,0
org.apache.tools.ant.taskdefs.Dirname,4,6,12,50,1,25,27.73471069,50.94936752,3,0.5,0,0,0.215822785,0,0,4,4,0
org.apache.tools.ant.taskdefs.Ear,7,10,42,23.80952454,1,14.28571415,25.49526215,62.38145447,16,0.761904776,0,0,0.226277372,0,0,7,7,1
org.apache.tools.ant.taskdefs.Echo,6,10,30,33.33333206,2,33.33333206,28.42377281,46.70912933,10,0.666666687,0,0,0.227152318,0,0,6,6,0
org.apache.tools.ant.taskdefs.EchoXML,9,10,72,13.88888931,2,22.22222137,31.78294563,71.23551941,31,0.861111104,0,0,0.223076923,0,0,9,9,1
org.apache.tools.ant.taskdefs.Exec,5,6,20,30,2,40,27.77777863,50.98814392,7,0.699999988,4,20,0.216318786,6.33E-05,1,5,6,0
org.apache.tools.ant.taskdefs.ExecTask,25,104,600,17.33333397,1,4,29.80189514,34.02163315,248,0.826666653,62.86666489,10.47777748,0.268121042,0.000266478,9,16,25,1
org.apache.tools.ant.taskdefs.Execute,70,357,4830,7.391304493,3,4.285714149,31.18001747,30.31825829,2236.5,0.926086962,787.6166382,16.3067627,0.237508112,0.000975867,54,22,76,0
org.apache.tools.ant.taskdefs.ExecuteJava,24,87,552,15.76086998,1,4.166666508,29.67269516,37.54768372,232.5,0.842391312,48.95000076,8.867753983,0.262327416,0.00036675,5,19,24,0
org.apache.tools.ant.taskdefs.ExecuteOn,29,83,812,10.22167492,3,10.34482765,31.69681358,35.90243912,364.5,0.897783279,77.83333588,9.585386276,0.292460015,0.000217744,4,25,29,1
org.apache.tools.ant.taskdefs.ExecuteStreamHandler,31,47,930,5.05376339,1,3.225806475,10.85271358,39.4366188,441.5,0.949462354,0,0,0,0,31,0,31,0
org.apache.tools.ant.taskdefs.ExecuteWatchdog,17,32,272,11.76470566,1,5.882352829,24.97846603,65.16854095,120,0.882352948,25,9.191176414,0.140516182,6.17E-05,14,3,17,0
org.apache.tools.ant.taskdefs.Exit,7,9,42,21.4285717,1,14.28571415,27.73471069,56.14646912,16.5,0.785714269,0,0,0.234654731,0,0,7,7,0
org.apache.tools.ant.taskdefs.Expand,18,38,306,12.41830063,2,11.11111069,31.3953495,39.81430817,134,0.875817001,10.5,3.431372643,0.256186317,3.25E-05,1,17,18,1
org.apache.tools.ant.taskdefs.Filter,5,9,20,45,1,20,27.82084465,50.62696075,5.5,0.550000012,0,0,0.216645489,0,0,5,5,0
org.apache.tools.ant.taskdefs.FixCRLF,15,22,210,10.47619057,3,20,29.242033,50.40831375,94,0.895238101,10.5,5,0.285024155,0.000117361,1,14,15,1
org.apache.tools.ant.taskdefs.GUnzip,5,8,20,40,1,20,25.79672623,63.9274292,6,0.600000024,0,0,0.195428571,0,0,5,5,0
org.apache.tools.ant.taskdefs.GZip,5,8,20,40,1,20,25.79672623,63.99572754,6,0.600000024,0,0,0.195428571,0,0,5,5,0
org.apache.tools.ant.taskdefs.GenerateKey,6,4,30,13.33333302,3,50,24.80620193,65.82857513,13,0.866666675,0,0,0.216338028,0,0,6,6,0
org.apache.tools.ant.taskdefs.Get,9,8,72,11.11111069,3,33.33333206,25.7536602,57.17017365,32,0.888888896,6.5,9.027777672,0.199423631,8.84E-06,1,8,9,1
org.apache.tools.ant.taskdefs.ImportTask,7,19,42,45.23809433,1,14.28571415,28.46683884,44.93541718,11.5,0.547619045,0,0,0.23582296,0,0,7,7,0
org.apache.tools.ant.taskdefs.Input,8,12,56,21.4285717,1,12.5,28.03617477,55.83190536,22,0.785714269,2.5,4.464285851,0.218710493,6.79E-07,1,8,9,0
org.apache.tools.ant.taskdefs.JDBCTask,8,19,56,33.92856979,1,12.5,28.33764076,43.66290665,18.5,0.660714269,2.5,4.464285851,0.228246319,1.98E-06,1,7,8,1
org.apache.tools.ant.taskdefs.Jar,24,48,552,8.695652008,3,12.5,29.069767,46.10655594,252,0.913043499,31.16666603,5.64613533,0.260533708,2.98E-05,2,22,24,1
org.apache.tools.ant.taskdefs.Java,40,162,1560,10.38461494,3,7.5,29.75882912,33.26913834,699,0.896153867,264.75,16.97115326,0.272542373,0.000521898,15,25,40,1
org.apache.tools.ant.taskdefs.Javac,29,86,812,10.59113312,2,6.896551609,29.4142971,37.96553802,363,0.894088686,280.8589783,34.58854294,0.253804017,0.000519039,14,17,31,1
org.apache.tools.ant.taskdefs.Javadoc,34,75,1122,6.684492111,6,17.64705849,30.44788933,31.63311005,523.5,0.93315506,248,22.10338593,0.266292922,0.000466702,8,34,42,1
org.apache.tools.ant.taskdefs.Jikes,6,9,30,30,1,16.66666603,27.77777863,55.31732559,10.5,0.699999988,0,0,0.233206591,0,0,6,6,0
org.apache.tools.ant.taskdefs.JikesOutputParser,3,1,6,16.66666603,2,66.66666412,8.613264084,86.95652008,2.5,0.833333313,1,16.66666603,0.180379747,2.32E-07,1,2,3,0
org.apache.tools.ant.taskdefs.KeySubst,2,1,2,50,1,50,24.2463398,77.33516693,0.5,0.5,0,0,0.180042239,0,0,2,2,0
org.apache.tools.ant.taskdefs.Length,18,27,306,8.823529243,2,11.11111069,30.18949127,47.33288193,139.5,0.911764681,58,18.95424843,0.243732591,0.000249589,4,18,22,1
org.apache.tools.ant.taskdefs.LoadFile,3,1,6,16.66666603,2,66.66666412,4.048234463,75.19999695,2.5,0.833333313,0,0,0.200234192,0,0,3,3,0
org.apache.tools.ant.taskdefs.LoadProperties,14,50,182,27.47252655,1,7.142857075,30.96468544,38.46976852,66,0.725274742,0,0,0.263948498,0,0,14,14,1
org.apache.tools.ant.taskdefs.LoadResource,10,21,90,23.33333397,1,10,30.79241943,43.97293854,34.5,0.766666651,8,8.888889313,0.248723559,3.90E-05,1,9,10,1
org.apache.tools.ant.taskdefs.LogOutputStream,20,25,380,6.578947544,2,10,13.73815632,62.06225586,177.5,0.934210539,24.16666603,6.359649181,0.180474934,4.35E-05,17,3,20,0
org.apache.tools.ant.taskdefs.LogStreamHandler,19,50,342,14.61988258,1,5.263157845,26.27045631,54.85611343,146,0.853801191,24.16666603,7.066277027,0.182009469,5.35E-05,14,5,19,0
org.apache.tools.ant.taskdefs.MacroDef,15,41,210,19.52380943,1,6.666666508,27.21791649,51.5497551,84.5,0.804761887,47.91666794,22.81746101,0.23087159,0.000188508,5,14,19,1
org.apache.tools.ant.taskdefs.MacroInstance,15,52,210,24.76190567,1,6.666666508,27.95004272,45.67206192,79,0.752380967,10.66666698,5.079365253,0.229497354,4.69E-06,1,14,15,1
org.apache.tools.ant.taskdefs.MakeUrl,7,16,42,38.09523773,1,14.28571415,28.72523689,44.23077011,13,0.619047642,0,0,0.248,0,0,7,7,0
org.apache.tools.ant.taskdefs.Manifest,8,18,56,32.1428566,1,12.5,25.27993202,74.87245178,19,0.678571403,1.5,2.678571463,0.194396798,8.40E-05,3,5,8,1
org.apache.tools.ant.taskdefs.ManifestClassPath,6,13,30,43.33333206,1,16.66666603,28.55297089,48.07831573,8.5,0.566666663,0,0,0.23713491,0,0,6,6,1
org.apache.tools.ant.taskdefs.ManifestException,6,11,30,36.66666794,1,16.66666603,3.143841505,70.19230652,9.5,0.633333325,0,0,0,0,6,0,6,0
org.apache.tools.ant.taskdefs.ManifestTask,9,14,72,19.44444466,2,22.22222137,25.62446213,56.18508148,29,0.805555582,0,0,0.19941691,0,0,9,9,1
org.apache.tools.ant.taskdefs.MatchingTask,51,134,2550,5.254901886,1,1.960784316,25.5813961,42.5501442,1208,0.947450995,533.666687,20.9281044,0.26745098,0.000882728,25,26,51,0
